varname,count,min,max,mean,median,std,p05,p95,colorbar_M,colorbar_N,colorbar_min,colorbar_max,range_mode,coverage_percent
INv,9750,74515773973624.62,1096182278685025.6,308270550689992.4,198823383596506.75,237636969801912.3,118270067444854.38,840267867233433.4,130257413745013.67,741848261958317.4,130257413745013.67,741848261958317.4,positive,80.0
OTv,9750,68430054362570.63,1087702604551416.0,304852903675017.5,197169585104074.25,236042132951492.97,116129589038536.23,840306243656934.5,128805911103098.5,735570132342910.2,128805911103098.5,735570132342910.2,positive,80.0
INh,9750,3189761934098.871,27556415092568.1,11150126857567.697,10785235496202.582,3356961431606.4736,6516566390903.113,17236136973354.328,7267932221920.2295,15600533278979.914,7267932221920.2295,15600533278979.914,positive,80.0
OTh,9750,3153800050829.925,28736954752241.12,11291581394995.59,10929947338515.713,3452023503132.2314,6462077742878.921,17531498317223.752,7269382590864.5205,15784298822697.814,7269382590864.5205,15784298822697.814,positive,80.0
MC,9750,0.0,43358675438643.766,7421457238473.682,5743300476852.857,6455741335337.708,1250878628566.9297,21754377470371.367,1505723276323.3428,14470553351315.553,1505723276323.3428,14470553351315.553,positive,80.0
ME,9750,0.0,3287235379978.987,456636919177.00946,429735861726.70667,283850020933.64154,0.0,939320958577.219,157243694829.48343,775110319281.931,157243694829.48343,775110319281.931,positive,80.0
SE,9750,-68841429650554.94,88340788185035.44,3547411555765.528,2900531926767.0044,11952360304586.676,-13727775134518.074,22417742381068.887,-12493054997842.928,12493054997842.928,-12493054997842.928,12493054997842.928,negative_positive,80.0
SP,9750,191889225921.30945,39355791346143.13,6823339885736.71,5221875609818.024,6341192580616.047,698448715509.5973,20601386635306.367,887890223262.4321,13718233141045.842,887890223262.4321,13718233141045.842,positive,80.0
GMv,9750,70707168169131.88,1108933791066978.4,312324074233800.0,202854611350477.97,240525645563597.03,119769029948055.72,856748040786413.4,132592523057233.8,752626810772125.2,132592523057233.8,752626810772125.2,positive,80.0
GMh,9750,5505252298719.746,59526298960425.45,18572932323603.85,15897341614968.324,8366895425549.23,10226667774324.28,38372333130147.51,11124162254339.244,28356682151089.332,11124162254339.244,28356682151089.332,positive,80.0
CWR,9750,3182911437886.866,28740891171459.535,11749592437867.14,11430497163936.922,3468840380750.838,6896930729650.567,18013655334973.13,7648160607053.291,16234676014040.717,7648160607053.291,16234676014040.717,positive,80.0
CEv,9750,0.0,8.471702965613263,2.5940046805622163,2.2692569660414397,1.6266892737337173,0.52364913817655,5.6551649029884885,0.7004807375134849,4.931703835968852,0.7004807375134849,4.931703835968852,positive,80.0
PEv,9750,0.07412558405932343,8.610760585490313,2.339686578351006,1.9633486708225845,1.6478094903530918,0.2993485628728326,5.421965608248367,0.43286854360802085,4.739161192929554,0.43286854360802085,4.739161192929554,positive,80.0
PEh,9750,1.5702921015117703,83.42782604141841,31.599427722626746,33.442057181890064,18.37837863424734,5.509236765733147,58.416464055980754,7.064923723848683,54.38685963749987,7.064923723848683,54.38685963749987,positive,80.0
PEw,9750,0.07119320858188571,8.165497961575722,2.2321490648136684,1.8802173872331873,1.5665176865235944,0.2860263198690512,5.138670585513347,0.4129025410437942,4.5080385014733615,0.4129025410437942,4.5080385014733615,positive,80.0
RCv,9750,1.3066188260270029,137.60474921909332,11.395997343904405,6.49209123054575,13.331413342631391,2.2544294938634883,41.1770988302632,2.5835735562001916,27.26354571901849,2.5835735562001916,27.26354571901849,positive,80.0
RCh,9750,0.6762493924795501,79.05975258355448,8.44989597384019,4.589739157979295,8.345821593430706,2.0856286841034515,25.926925926391874,2.417667769275407,20.612170963354878,2.417667769275407,20.612170963354878,positive,80.0
aveMv,9750,23665354031.945698,477842209236.1158,125327389657.68024,61962395703.7444,120214058729.60448,32463691269.334057,381267258900.2899,35248832464.160965,343745305249.6325,35248832464.160965,343745305249.6325,positive,80.0
aveMh,9750,837736065.1869886,10759211973.258013,3080135249.300154,2535832756.887738,1541248402.9601374,1673528563.7016804,6759743025.828065,1841870389.210707,5296690522.590486,1841870389.210707,5296690522.590486,positive,80.0
