varname,count,min,max,mean,median,std,p05,p95,colorbar_M,colorbar_N,colorbar_min,colorbar_max,range_mode,coverage_percent
INv,117000,2201757995118.884,192268848328734.8,25691094275964.9,17357820125218.576,25263230774715.14,6099425170828.351,82233698549778.22,7168406164226.914,55432185554715.65,7168406164226.914,55432185554715.65,positive,80.0
OTv,117000,2064794032284.7095,191612303107733.34,25406292114742.33,17153416387205.922,24843611033100.523,6078822336693.343,80084728719241.11,7150368615648.212,54676841343066.65,7150368615648.212,54676841343066.65,positive,80.0
INh,117000,0.0,4252670106907.579,929177053293.9211,847888002104.1677,542172324037.8586,219677961600.11127,1915088273490.3018,329667027360.4858,1600108892305.1047,329667027360.4858,1600108892305.1047,positive,80.0
OTh,117000,0.0,4810796747030.879,940964954314.9531,856743953181.2119,551814290431.072,223212629620.41376,1954987235229.7563,332382417224.3518,1620093628440.3389,332382417224.3518,1620093628440.3389,positive,80.0
MC,117000,0.0,11082351157351.758,617411415528.7814,213956390524.00098,989029727350.3213,21967269116.812946,2750934598973.988,40051537007.180275,1788853656030.884,40051537007.180275,1788853656030.884,positive,80.0
ME,117000,0.0,783393977510.7957,37009698944.460396,28999380114.68107,36200669501.016914,0.0,102231906239.45216,0.0,78218965413.6482,0.0,78218965413.6482,positive,90.0
SE,117000,-24526772153976.71,26642048651157.57,295619409648.73773,182710990503.9463,1571534465637.1604,-1567849589907.0735,2593592827932.2446,-1333554004416.8936,1333554004416.8936,-1333554004416.8936,1333554004416.8936,negative_positive,80.0
SP,117000,0.0,10629259547662.277,568611657248.1277,161001316422.13638,977382836788.6157,5956184485.926489,2687971842973.318,13615285038.565609,1740589603546.1396,13615285038.565609,1740589603546.1396,positive,80.0
GMv,117000,2096319534300.3274,193784650298484.5,26147098448103.22,17784468127632.516,25647597180835.58,6202196076311.274,82966501677853.6,7285364657766.795,56179921501088.164,7285364657766.795,56179921501088.164,positive,80.0
GMh,117000,0.0,14473414819425.072,1549792328283.587,1137514807126.148,1384652361060.5913,301754597087.7505,4429308529204.297,436592878139.65344,3164478183805.2295,436592878139.65344,3164478183805.2295,positive,80.0
CWR,117000,0.0,4829473473798.987,981180671035.4587,899477248308.0402,557108113383.9463,249133494178.01675,2001736370782.5264,364255934511.6571,1666549273838.3516,364255934511.6571,1666549273838.3516,positive,80.0
CEv,117000,0.0,22.73172502253687,2.1934715399648295,1.3868569594850504,2.3157154699606703,0.1261693182399423,6.936207645068366,0.2710139609622161,5.251322922385454,0.2710139609622161,5.251322922385454,positive,80.0
PEv,117000,0.0,24.222412792555254,1.921496611280368,1.004517598375874,2.361068907789563,0.04140992435641267,6.800738566424641,0.1034501052605501,5.0577250643885705,0.1034501052605501,5.0577250643885705,positive,80.0
PEh,117000,0.0,100.0,23.88410073873935,16.556795534652615,21.375585941674522,1.039053354468006,65.85008627262002,2.154761860418977,58.82764949563064,2.154761860418977,58.82764949563064,positive,80.0
PEw,117000,0.0,21.283106468697177,1.8257657621676249,0.9535855804889171,2.2412396739943823,0.03994349048437888,6.473315885784944,0.09924447199864792,4.8159006284545365,0.09924447199864792,4.8159006284545365,positive,80.0
RCv,117000,0.0,24484434.706554443,720.3524179228831,9.52499082454023,74965.65199439795,1.845711137404919,217.85978607301115,2.487544419371212,90.34608517287458,2.487544419371212,90.34608517287458,positive,80.0
RCh,117000,0.0,307868.12667278794,77.3773212396073,8.361755407524745,2071.499251280494,1.7107652970868348,101.29616342266303,2.24991386415585,54.46230747437197,2.24991386415585,54.46230747437197,positive,80.0
aveMv,117000,5512924847.649697,817536221461.0836,124940730938.8356,69466779038.86548,154165674702.47543,11655987270.043016,525408459858.8334,14399601024.444485,321280626428.3588,14399601024.444485,321280626428.3588,positive,80.0
aveMh,117000,0.0,23705153582.6583,3071105776.6480923,2107680926.7414894,3025201187.8797107,480290880.7867436,9535160821.663116,709090499.9693445,6294184106.82761,709090499.9693445,6294184106.82761,positive,80.0
